Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6.16E+12,KRACKLES PERFECTLY SALTED 150 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
6.16E+12,KRACKLES ZINGY SALT AND VINEGAR 150 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
6.16E+12,KRACKLES TANGY TOMATO 150 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
6.93E+12,SUNNY GIRL ULTRA THIN SERIES,SANITARY,PACK,38,,,VAT @ 16%,INCLUSIVE,PADS,,,,,,,
4.02E+12,ALWAYS MAXI THICK,SANITARY,PACK,,,,VAT @ 16%,INCLUSIVE,PADS,,,,,,,
6.16E+12,KRACKLES TANGY TOMATO 30 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
6.16E+12,KRACKLES PERFECTLY SALTED 30 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
6.95E+12,VELA ULTRA REGULAR ,SANITARY,PACK,,,,VAT @ 16%,INCLUSIVE,PADS,,,,,,,
6.00E+12,HUGGIES DRY COMFORT MIDI,BABY,PACK,,,,VAT @ 16%,INCLUSIVE,BABY,,,,,,,
6.16E+12,FAY FOIL 90M,WRAPPING,ROLL,42.5,,,VAT @ 16%,INCLUSIVE,WRAPPING,,,,,,,
6.16E+12,FAY CLEANING FILM 300M,WRAPPING,ROLL,541,,,VAT @ 16%,INCLUSIVE,WRAPPING,,,,,,,
6.16E+12,COSY WHITE UNWRAP 4s,TISSUE,PACK,103,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6.16E+12,COSY SINGLE WHITE WRAP,TISSUE,ROLL,25.5,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6.16E+12,COSY WHITE UNWRAP 10s,TISSUE,PACK,,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6.16E+12,COSY WHITE UNWRAP 8s,TISSUE,PACK,205,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
