Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
GEN135,ONIONS PER KG ,26,pkt,80.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN136,ORANGES PER PC ,26,pkt,10.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN137,OREGANO PER TIN ,26,pkt,180.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN138,OXTAIL MEAT PER KG ,26,pkt,0.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN139,OYO PER TIN ,26,pkt,70.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN140,PACKING BAGS PER DZN ,26,pkt,72.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN141,PADLOCK PER PC ,26,pkt,650.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN142,PARSLEY PER BUNCH ,26,pkt,130.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN143,PASLEY PER TIN ,26,pkt,100.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN144,PASSION PER KG ,26,pkt,200.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN145,PAWPAW PER PC ,26,pkt,150.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN146,PEPPER ,26,pkt,158.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN147,PILAU MASALA PER TIN ,26,pkt,105.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN148,PILIPILI SHAMBA PER BUNC ,26,pkt,0.00 ,10 ,2,No Tax,exclusive,,,,,,,,
GEN149,PILIPILI SHAMBA PER BUNCH ,26,pkt,0.00 ,10 ,2,No Tax,exclusive,,,,,,,,
GEN150,PINEAPPLE PER PC ,26,pkt,70.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN151,PORK PER KG ,26,pkt,499.42 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN152,POT BRUSH ,26,pkt,25.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN153,POTATOES PER BAG ,26,pkt,"6,300.00 ",0 ,2,No Tax,exclusive,,,,,,,,
GEN154,POTATOES PER NDEBE ,26,pkt,600.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN155,PRINTER ROLL PER ROLL ,26,pkt,142.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN156,PUMPKIN PER PC ,26,pkt,200.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN157,QUAILS ,26,pkt,200.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN158,QUEEN CAKES PER PKT ,26,pkt,69.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN159,RASPBERRY JUICE ,26,pkt,0.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN160,RASPBERRY JUICE PER PKT ,26,pkt,395.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN161,RED CABBAGE KG ,26,pkt,100.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN162,RED WINE  NON-ALCOHOLIC PER BTL ,26,pkt,0.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN163,RED WINE NON-ALCOHOLIC PER BTL ,26,pkt,541.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN164,RICE PER BAIL ,26,pkt,84.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN165,RICE PER KG ,26,pkt,"3,825.00 ",0 ,2,No Tax,exclusive,,,,,,,,
GEN166,ROSE SYRUP PER BTL ,26,pkt,0.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN167,ROSEMARY PER BUNCH ,26,pkt,60.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN168,ROYCO PER TIN ,26,pkt,108.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN169,SALT PER KG ,26,pkt,55.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN170,SALT SATCHETS ,26,pkt,1.01 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN171,SANDWICH ,26,pkt,0.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN172,SANDWICH HAM ,26,pkt,284.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN173,SAUSAGE PER PKT ,26,pkt,500.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN174,SCONES PER PKT ,26,pkt,50.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN175,SCRABER PER PC ,26,pkt,270.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN176,SERVITTES PER PKT ,26,pkt,375.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN177,SESEME SEEDS PER KG/PKT ,26,pkt,295.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN178,SIRLOIN STEAK PER KG ,26,pkt,700.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN179,SKIRTING PINS PER PKT ,26,pkt,50.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN180,SMOOKIES PER PKT ,26,pkt,0.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN181,SOAP PER LTR ,26,pkt,82.50 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN182,SODAS PER CRATE ,26,pkt,570.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN183,SOUP SACHETS PER PKT ,26,pkt,185.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN184,SOUR CREAM PER LTR ,26,pkt,141.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN185,SOUR MILK PER PKT ,26,pkt,385.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN186,SOY SAUCE PER BTL ,26,pkt,345.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN187,SOYA DRINK PER TIN ,26,pkt,345.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN188,SPAGHETTI PKT ,26,pkt,549.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN189,SPANISH PARPLIKA PER TIN ,26,pkt,173.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN190,SPARKLING APPLE JUICE ,26,pkt,0.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN191,SPARKLING APPLE JUICE PER BTL ,26,pkt,541.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN192,SPINANCH PER KH ,26,pkt,10.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN193,SPIRIT PER LTR ,26,pkt,116.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN194,STAPLE PINS PER BOX ,26,pkt,35.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN195,STEELWIRE PER PC ,26,pkt,4.33 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN196,STICKERS PER DZN ,26,pkt,30.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN197,STRAW BERRIES PER TIN/KG ,26,pkt,100.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN198,STRAWBERRIES PER TIN/KG ,26,pkt,0.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN199,STRAWS PER PKT ,26,pkt,272.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN200,SUGAR PER KG ,26,pkt,165.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN201,SUPABRITE PER PC ,26,pkt,224.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN202,SWEEPING BROOMS (MAKUTI) PER PS ,26,pkt,100.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN203,SWEET BANANAS PER BUNCH ,26,pkt,100.00 ,0 ,2,No Tax,exclusive,,,,,,,,
