Code,1100450318,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6161102573466 ,TENA POCKET TISSUES WHITE,TISSUE,PACK,,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6164000072109 ,KRACKLES BAR-B-QUE 150 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
6164000072086 ,KRACKLES TINGLY CHEESE 150 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
6164000072062 ,KRACKLES PERFECTLY SALTED 150 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
6164000072093 ,KRACKLES ZINGY SALT AND VINEGAR 150 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
6164000072079 ,KRACKLES TANGY TOMATO 150 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
6928140301501 ,SUNNY GIRL ULTRA THIN SERIES,SANITARY,PACK,38,,,VAT @ 16%,INCLUSIVE,PADS,,,,,,,
4015400325987 ,ALWAYS MAXI THICK,SANITARY,PACK,,,,VAT @ 16%,INCLUSIVE,PADS,,,,,,,
6164000072932 ,KRACKLES TANGY TOMATO 30 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
6164000072925 ,KRACKLES PERFECTLY SALTED 30 G,SNACKS,PACK,,,,VAT @ 16%,INCLUSIVE,SNACKS,,,,,,,
6948403503695 ,VELA ULTRA REGULAR ,SANITARY,PACK,,,,VAT @ 16%,INCLUSIVE,PADS,,,,,,,
6001019906066 ,HUGGIES DRY COMFORT MIDI,BABY,PACK,,,,VAT @ 16%,INCLUSIVE,BABY,,,,,,,
6161101890793 ,FAY FOIL 90M,WRAPPING,ROLL,42.5,,,VAT @ 16%,INCLUSIVE,WRAPPING,,,,,,,
6161101890847 ,FAY CLEANING FILM 300M,WRAPPING,ROLL,541,,,VAT @ 16%,INCLUSIVE,WRAPPING,,,,,,,
6161101891103 ,COSY WHITE UNWRAP 4s,TISSUE,PACK,103,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6161101890083 ,COSY SINGLE WHITE WRAP,TISSUE,ROLL,25.5,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6161101890298 ,COSY WHITE UNWRAP 10s,TISSUE,PACK,,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6161101890236 ,COSY WHITE UNWRAP 8s,TISSUE,PACK,205,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6161101890427 ,SIFA WHITE WRAP,TISSUE,ROLL,20,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6161101890168 ,FAY SINGLE WRAP,TISSUE,ROLL,31,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6161101891455 ,SIFA JUMBO ROLL,TISSUE,ROLL,67,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6161101890199 ,KLEENEX SINGLE WHITE WRAP,TISSUE,ROLL,31,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6161101890090 ,COSY WHITE UNWRAP 8s,TISSUE,PACK,204,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6161101890649 ,FAY COCKTAIL SERVIETTES,TISSUE,PACK,,,,VAT @ 16%,INCLUSIVE,SERVIETTES,,,,,,,
6009611180495 ,KLEENEX LUXURIOUS CARE,,,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6161101890496 ,FAY SUPERSOFT SERVIETTES,TISSUE,PACK,,,,VAT @ 16%,INCLUSIVE,SERVIETTES,,,,,,,
6161101891264 ,FAY CONFIDENCE TEENS ULTRATHIN,SANITARY,PACK,,,,VAT @ 16%,INCLUSIVE,PADS,,,,,,,
6161101891134 ,FAY ULTRASOFT,,,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6161101890359 ,FAY CONFIDENCE REG ULTRATHIN,SANITARY,PACK,42,,,VAT @ 16%,INCLUSIVE,PADS,,,,,,,
6009611180006 ,FAY FACIAL WHITE TISSUE,TISSUE,PACK,45,,,VAT @ 16%,INCLUSIVE,TISSUE,,,,,,,
6161101891226 ,KLEENEX LUXURIOUS CARE,,,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6161101890656 ,KLEENEX LUXURIOUS CARE,,,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6161101891509 ,SPARKLE SCOURING PAD,CLEANING,PACK,,,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
6161101890830 ,FAY CLEANING FILM 30 M,CLEANING,ROLL,113,,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
6161101890786 ,FAY ALLUM FOIL CATERING 60 M,WRAPPING,ROLL,603,,,VAT @ 16%,INCLUSIVE,WRAPPING,,,,,,,
6161101891493 ,SPARKLE SCOURING PAD,CLEANING,PACK,,,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
6161101891745 ,SPARKLE HANDY CLEANER,CLEANING,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6161101891721 ,SPARKLE ALL PURPOSE CLEANER,CLEANING,PACK,30,,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
6161101890151 ,COSY WHITE SERVIETTES,TISSUE,PACK,61,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6161101890823 ,FAY CLING FILM 15M,CLEANING,ROLL,,,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
6161101890892 ,FAY FOIL 30M,WRAPPING,ROLL,,,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
61600973 ,VASELINE BLUE SEAL 25 ML,JELLY AND LOTIONS,BOTTLE,20.2,25,,VAT @ 16%,INCLUSIVE,JELLY,,,,,,,
