Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2 ,Custom Field 3 ,Custom Field 4 ,Custom Field 5,Custom Field 6
280,WILLIAM lawson can 330ml,A,Bottles,0,0,2, No Tax, exclusive,WS,,,,,,,
281,BELAIRE GOLD,A,Bottles,7500,7500,2, No Tax, exclusive,CH,,,,,,,
282,Red label 375ml,A,Bottles,1500,1500,2, No Tax, exclusive,WS,,,,,,,
283,Whytehall fire 1l,A,Bottles,2000,2000,2, No Tax, exclusive,WS,,,,,,,
284,Whytehall Honey,A,Bottles,2000,2000,2, No Tax, exclusive,WS,,,,,,,
285,Gilbeys Mixed Berry 350ml,A,Bottles,1000,1000,2, No Tax, exclusive,GI,,,,,,,
286,dasani 500ml,A,Bottles,100,100,2, No Tax, exclusive,WT,,,,,,,
287,Gilbeys mixed berry 750ML,A,Bottles,1800,1800,2, No Tax, exclusive,GI,,,,,,,
288,Belaire Rose,A,Bottles,7000,7000,2, No Tax, exclusive,CH,,,,,,,
289,X 8.8,A,Bottles,0,0,2, No Tax, exclusive,BE,,,,,,,
290,Drostdy Hof White,A,Bottles,1500,1500,2, No Tax, exclusive,WI,,,,,,,
291,Martel VSOP 750ML,A,Bottles,10000,10000,2, No Tax, exclusive,CO,,,,,,,
292,Gordons pink,A,Bottles,2200,2200,2, No Tax, exclusive,GI,,,,,,,
293,Black and White 750ml,A,Bottles,1800,1800,2, No Tax, exclusive,WS,,,,,,,
294,Summit Lager,A,Bottles,250,250,2, No Tax, exclusive,BE,,,,,,,
295,Summit Malt,A,Bottles,250,250,2, No Tax, exclusive,BE,,,,,,,
296,Alvaro .,A,Bottles,200,200,2, No Tax, exclusive,SO,,,,,,,
297,William Lawson 1l,A,Bottles,2000,2000,2, No Tax, exclusive,WS,,,,,,,
298,Hop house,A,Bottles,250,250,2, No Tax, exclusive,BE,,,,,,,
299,4th Street Red,A,Bottles,1500,1500,2, No Tax, exclusive,WI,,,,,,,
300,Flirt Vodka 1L ,A,Bottles,3000,3000,2, No Tax, exclusive,VO,,,,,,,
301,Hendricks,A,Bottles,6500,6500,2, No Tax, exclusive,GI,,,,,,,
302,Martel VS 1L,A,Bottles,10000,10000,2, No Tax, exclusive,CO,,,,,,,
