Code,Name,,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6.16E+12,KLEENEX SINGLE WHITE WRAP,22,ROLL,31,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,COSY WHITE UNWRAP 8s,22,PACK,204,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,FAY COCKTAIL SERVIETTES,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.01E+12,KLEENEX LUXURIOUS CARE,22,,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,FAY SUPERSOFT SERVIETTES,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,FAY CONFIDENCE TEENS ULTRATHIN,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,FAY ULTRASOFT,22,,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,FAY CONFIDENCE REG ULTRATHIN,22,PACK,42,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.01E+12,FAY FACIAL WHITE TISSUE,22,PACK,45,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,KLEENEX LUXURIOUS CARE,22,,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,KLEENEX LUXURIOUS CARE,22,,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,SPARKLE SCOURING PAD,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,FAY CLEANING FILM 30 M,22,ROLL,113,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,FAY ALLUM FOIL CATERING 60 M,22,ROLL,603,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,SPARKLE SCOURING PAD,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,SPARKLE HANDY CLEANER,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,SPARKLE ALL PURPOSE CLEANER,22,PACK,30,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,COSY WHITE SERVIETTES,22,PACK,61,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,FAY CLING FILM 15M,22,ROLL,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,FAY FOIL 30M,22,ROLL,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+07,VASELINE BLUE SEAL 25 ML,22,BOTTLE,20.2,25,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,LUX SOAP 20 G,22,WRAP,8.3,10,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,LIFEBUOY LEMMON FRESH 75 G,22,WRAP,48,60,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,LIFEBUOY LEMMON FRESH 175 G,22,WRAP,104,130,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,LADY GAY LOTION 50 ML,22,BOTTLE,39,45,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,SUNLIGHT SOAP PARADISE 175 G,22,WRAP,36,40,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,LIFEBUOY HERBAL 75 G,22,WRAP,48,60,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,LIFEBUOY HERBAL 175 G,22,WRAP,104,130,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,LIFEBUOY CARE 75 G,22,WRAP,48,60,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,LIFEBUOY CARE 175 G,22,WRAP,104,130,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,LUX SOFT TOUCH 75 G,22,WRAP,88,110,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,LUX SOFT CARESS 75 G,22,WRAP,88,110,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,LUX VELVET TOUCH 175 G,22,WRAP,88,110,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,LADY GAY LOTION 200 ML,22,BOTTLE,81,95,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,LADY GAY LOTION 120 ML,22,BOTTLE,60,70,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+07,VASELINE BLUE SEAL ALOE FRESH 100 ML,22,BOTTLE,77,95,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.00E+12,VASELINE MEN EXTRA STRENGTH 400 ML,22,BOTTLE,312,390,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.00E+12,VASELINE MEN COOLING 400 ML,22,BOTTLE,312,390,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.00E+12,VASELINE MEN EXTRA STRENGTH 200 ML,22,BOTTLE,168,210,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.00E+12,VASELINE MENCOOLING 200 ML,22,BOTTLE,168,210,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+07,VASELINE BLUE SEAL COCOA BUTTER 100 ML,22,BOTTLE,77,95,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+07,VASELINE BLUE SEAL BABY 100 ML ,22,BOTTLE,77,95,,VAT @ 16%,INCLUSIVE,,,,,,,,
8.90E+12,FAIR N LOVELY 50 G,22,TUBE,116,145,,VAT @ 16%,INCLUSIVE,,,,,,,,
8.90E+12,FAIR N LOVELY 25 G,22,TUBE,72,90,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.00E+12,VASELINE INTENSIVE CARE COCOA GLOW 200 ML,22,BOTTLE,160,200,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.00E+12,VASELINE INTENSIVE CARE DRY SKIN REPAIR 400 ML,22,BOTTLE,304,380,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.00E+12,VASELINE INTENSIVE CARE DRY SKIN REPAIR 200 ML,22,BOTTLE,160,200,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.00E+12,VASELINE INTENSIVE CARE ALOE SOOTHE 400 ML,22,BOTTLE,304,380,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.00E+12,VASELINE INTENSIVE CARE ALOE SOOTHE 200 ML,22,BOTTLE,160,200,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.00E+12,VASELINE INTENSIVE CARE COCOA GLOW 400 ML,22,BOTTLE,304,380,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+07,VASELINE BLUE SEAL MEN FRESH 50 ML,22,BOTTLE,49,60,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+07,VASELINE BLUE SEAL MEN COOLING 50 ML,22,BOTTLE,49,60,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+07,VASELINE BLUSEAL  MEN FRESH 100 ML,22,BOTTLE,77,95,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+07,VASELINE BLUE SEAL MEN COOLING 100 ML ,22,BOTTLE,77,95,,VAT @ 16%,INCLUSIVE,,,,,,,,
8.93E+12,CLOSE UP DEEP ACTION 30 G,22,TUBE,42,50,,VAT @ 16%,INCLUSIVE,,,,,,,,
8.93E+12,CLOSE UP DEEP ACTION 60 G,22,TUBE,79,95,,VAT @ 16%,INCLUSIVE,,,,,,,,
4.80E+12,REXONA COTTON 50 ML,22,BOTTLE,181,240,,VAT @ 16%,INCLUSIVE,,,,,,,,
4.80E+12,REXONA MEN XTRA COOL 50 ML,22,BOTTLE,181,240,,VAT @ 16%,INCLUSIVE,,,,,,,,
4.80E+12,REXONA POWDER 50 ML,22,BOTTLE,181,240,,VAT @ 16%,INCLUSIVE,,,,,,,,
4.80E+12,REXONA SHOWER CLEAN 50 ML,22,BOTTLE,181,240,,VAT @ 16%,INCLUSIVE,,,,,,,,
4.80E+12,REXONA MEN ACTIVE 50 ML,22,BOTTLE,181,240,,VAT @ 16%,INCLUSIVE,,,,,,,,
4.80E+12,REXONA MEN QUANTUM 25 ML,22,BOTTLE,92,120,,VAT @ 16%,INCLUSIVE,,,,,,,,
4.80E+12,REXONA POWDER 25 ML ,22,BOTTLE,92,120,,VAT @ 16%,INCLUSIVE,,,,,,,,
4.80E+12,REXONA MEN QUANTUM 50 ML,22,BOTTLE,181,240,,VAT @ 16%,INCLUSIVE,,,,,,,,
4.80E+12,REXONA COTTON 25 ML,22,BOTTLE,92,120,,VAT @ 16%,INCLUSIVE,,,,,,,,
4.80E+12,REXONA SHOWER CLEAN 25 ML,22,BOTTLE,92,120,,VAT @ 16%,INCLUSIVE,,,,,,,,
4.80E+12,REXONA MEN XTRA COOL 25 ML,22,BOTTLE,92,120,,VAT @ 16%,INCLUSIVE,,,,,,,,
4.80E+12,REXONA MEN ACTIVE 25 ML ,22,BOTTLE,92,120,,VAT @ 16%,INCLUSIVE,,,,,,,,
8.93E+12,CLOSE UP DEEP ACTION 125 G,22,TUBE,139,185,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.22E+12,CLOSE UP DEEP ACTION 13 G,22,TUBE,13,15,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,OMO HAND WASHING POWDER 30 G,22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,KNORR RICH MEATY SEASONING CUBES (40X4g),22,PACK,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
8.93E+12,PEPSODENT TOOTHPASTE 65G,22,TUBE,72,90,,VAT @ 16%,INCLUSIVE,,,,,,,,
